City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Pochutla,MX,15.7432,-96.4661,80.82,90,89,4.29,overcast clouds
80,Vanimo,PG,-2.6741,141.3028,72.81,92,100,8.57,overcast clouds
81,Berlevag,NO,70.8578,29.0864,45.09,84,100,23.69,overcast clouds
82,Severodvinsk,RU,64.5635,39.8302,51.91,66,100,12.33,light rain
83,Vila Velha,BR,-20.3297,-40.2925,60.75,94,0,4.61,clear sky
84,Fort Nelson,CA,58.8053,-122.7002,72.99,38,40,5.75,scattered clouds
85,Fairbanks,US,64.8378,-147.7164,70.02,54,75,1.99,broken clouds
86,Harper,LR,4.375,-7.7169,75.0,75,91,6.4,overcast clouds
87,Aksarka,RU,66.5606,67.7975,59.0,69,79,11.88,broken clouds
88,Grand Gaube,MU,-20.0064,57.6608,70.2,77,15,5.01,few clouds
89,Guerrero Negro,MX,27.9769,-114.0611,69.17,84,96,13.8,overcast clouds
90,Touros,BR,-5.1989,-35.4608,72.5,83,0,14.92,clear sky
91,Marawi,PH,7.9986,124.2928,84.16,53,14,6.46,few clouds
92,Lagoa,PT,39.05,-27.9833,68.14,84,98,17.05,overcast clouds
93,Koping,SE,59.514,15.9926,59.9,78,22,2.35,few clouds
94,East London,ZA,-33.0153,27.9116,47.34,71,0,4.61,clear sky
95,Buala,SB,-8.145,159.5921,78.06,89,100,8.08,moderate rain
96,Pinega,RU,64.7001,43.3936,50.45,71,100,8.25,light rain
97,Isangel,VU,-19.55,169.2667,86.11,66,20,5.75,few clouds
98,Tiksi,RU,71.6872,128.8694,44.94,76,78,6.13,broken clouds
99,Hauzenberg,DE,48.65,13.6333,62.29,87,82,2.15,broken clouds
100,Shache,CN,38.4167,77.2406,91.44,22,1,5.44,clear sky
101,Cape Town,ZA,-33.9258,18.4232,51.28,58,0,6.91,clear sky
102,Salalah,OM,17.0151,54.0924,78.89,94,90,8.05,light intensity drizzle
